Ref,Val,Package,PosX,PosY,Rot,Side
"SW2","USER  GPIO23","SW_SPST_PTS645Sx43SMTR92",99.000000,-83.600000,0.000000,top
"U1","74HC244","SOIC-20W_7.5x12.8mm_P1.27mm",98.750000,-38.000000,90.000000,top
"U2","LM358","SOIC-8_3.9x4.9mm_P1.27mm",103.750000,-67.000000,-90.000000,top
"U3","74HCT132","SOIC-14_3.9x8.7mm_P1.27mm",100.750000,-21.500000,90.000000,top
"U4","74HC4040","SOIC-16_3.9x9.9mm_P1.27mm",90.750000,-21.750000,-90.000000,top
"U6","74HC157","SOIC-16_3.9x9.9mm_P1.27mm",77.500000,-26.750000,-90.000000,top
"U8","74HC4049","SOIC-16_3.9x9.9mm_P1.27mm",75.250000,-12.750000,90.000000,top
"U9","74HCU04","SOIC-14_3.9x8.7mm_P1.27mm",106.750000,-9.500000,180.000000,top
"U10","74HC244","SOIC-20W_7.5x12.8mm_P1.27mm",102.250000,-50.000000,-90.000000,top
"U11","24LC32","SOIC-8_3.9x4.9mm_P1.27mm",84.750000,-14.250000,180.000000,top
"U12","LM339","SOIC-14_3.9x8.7mm_P1.27mm",37.750000,-38.000000,-90.000000,top
"U20","TL072","SOIC-8_3.9x4.9mm_P1.27mm",21.500000,-13.000000,-90.000000,top
"U21","LM311","SOIC-8_3.9x4.9mm_P1.27mm",47.250000,-11.250000,-90.000000,top
"U22","TL072","SOIC-8_3.9x4.9mm_P1.27mm",34.750000,-10.750000,180.000000,top
"U23","74HC74","SOIC-14_3.9x8.7mm_P1.27mm",44.250000,-22.500000,180.000000,top
"U24","74HC04","SOIC-14_3.9x8.7mm_P1.27mm",32.250000,-21.500000,180.000000,top
"U60","TL072","SOIC-8_3.9x4.9mm_P1.27mm",21.500000,-55.000000,-90.000000,top
"U61","LM311","SOIC-8_3.9x4.9mm_P1.27mm",47.250000,-53.250000,-90.000000,top
"U62","TL072","SOIC-8_3.9x4.9mm_P1.27mm",34.750000,-52.750000,180.000000,top
"U63","74HC74","SOIC-14_3.9x8.7mm_P1.27mm",44.250000,-64.500000,180.000000,top
"U64","74HC04","SOIC-14_3.9x8.7mm_P1.27mm",32.250000,-63.500000,180.000000,top
"Y1","6.144MHz","Crystal_SMD_HC49-SD_HandSoldering",92.250000,-7.500000,180.000000,top
